UserId;ActivityId;Rating;;;
1;1;4.0;;;
5;1;4.0;;;
7;1;4.5;;;
15;1;2.5;;;
17;1;4.5;;;
18;1;3.5;;;
19;1;4.0;;;
21;1;3.5;;;
27;1;3.0;;;
31;1;5.0;;;
32;1;3.0;;;
33;1;3.0;;;
40;1;5.0;;;
43;1;5.0;;;
44;1;3.0;;;
45;1;4.0;;;
46;1;5.0;;;
50;1;3.0;;;
54;1;3.0;;;
57;1;5.0;;;
63;1;5.0;;;
64;1;4.0;;;
66;1;4.0;;;
68;1;2.5;;;
71;1;5.0;;;
73;1;4.5;;;
76;1;0.5;;;
78;1;4.0;;;
82;1;2.5;;;
86;1;4.0;;;
89;1;3.0;;;
90;1;3.0;;;
91;1;4.0;;;
93;1;3.0;;;
96;1;5.0;;;
98;1;4.5;;;
103;1;4.0;;;
107;1;4.0;;;
112;1;3.0;;;
119;1;3.5;;;
121;1;4.0;;;
124;1;4.0;;;
130;1;3.0;;;
132;1;2.0;;;
134;1;3.0;;;
135;1;4.0;;;
137;1;4.0;;;
140;1;3.0;;;
141;1;4.0;;;
144;1;3.5;;;
145;1;5.0;;;
151;1;5.0;;;
153;1;2.0;;;
155;1;3.0;;;
156;1;4.0;;;
159;1;4.5;;;
160;1;4.0;;;
161;1;4.0;;;
166;1;5.0;;;
167;1;3.5;;;
169;1;4.5;;;
171;1;5.0;;;
177;1;5.0;;;
178;1;4.0;;;
179;1;4.0;;;
182;1;4.0;;;
185;1;4.0;;;
186;1;4.0;;;
191;1;4.0;;;
193;1;2.0;;;
200;1;3.5;;;
201;1;5.0;;;
202;1;4.0;;;
206;1;5.0;;;
213;1;3.5;;;
214;1;3.0;;;
216;1;3.0;;;
217;1;4.0;;;
219;1;3.5;;;
220;1;5.0;;;
223;1;3.5;;;
226;1;3.5;;;
229;1;5.0;;;
232;1;3.5;;;
233;1;3.0;;;
234;1;5.0;;;
239;1;4.0;;;
240;1;5.0;;;
247;1;5.0;;;
249;1;4.0;;;
252;1;4.5;;;
254;1;4.5;;;
263;1;4.0;;;
264;1;4.0;;;
266;1;2.0;;;
269;1;5.0;;;
270;1;5.0;;;
273;1;5.0;;;
274;1;4.0;;;
275;1;5.0;;;
276;1;4.0;;;
277;1;4.0;;;
279;1;3.0;;;
280;1;4.5;;;
282;1;4.5;;;
283;1;3.0;;;
288;1;4.5;;;
290;1;4.0;;;
291;1;4.0;;;
292;1;4.0;;;
293;1;3.0;;;
298;1;2.0;;;
304;1;5.0;;;
307;1;4.0;;;
314;1;3.0;;;
322;1;3.5;;;
323;1;3.5;;;
328;1;5.0;;;
330;1;4.0;;;
332;1;4.0;;;
334;1;3.5;;;
336;1;4.0;;;
337;1;4.0;;;
339;1;4.0;;;
341;1;5.0;;;
347;1;5.0;;;
350;1;4.0;;;
353;1;5.0;;;
357;1;5.0;;;
359;1;4.0;;;
364;1;5.0;;;
367;1;5.0;;;
372;1;3.0;;;
373;1;3.0;;;
378;1;4.5;;;
380;1;5.0;;;
381;1;3.5;;;
382;1;4.5;;;
385;1;4.0;;;
389;1;5.0;;;
391;1;3.0;;;
396;1;5.0;;;
399;1;4.0;;;
401;1;3.5;;;
411;1;5.0;;;
412;1;2.0;;;
414;1;4.0;;;
420;1;4.0;;;
422;1;4.0;;;
432;1;2.5;;;
434;1;4.0;;;
436;1;4.0;;;
438;1;4.5;;;
443;1;4.0;;;
448;1;5.0;;;
451;1;5.0;;;
453;1;5.0;;;
456;1;5.0;;;
460;1;4.5;;;
462;1;1.5;;;
468;1;4.0;;;
469;1;4.0;;;
470;1;4.0;;;
471;1;5.0;;;
474;1;4.0;;;
476;1;4.0;;;
477;1;4.0;;;
480;1;3.0;;;
483;1;4.0;;;
484;1;4.5;;;
488;1;4.5;;;
490;1;3.5;;;
492;1;4.0;;;
500;1;4.0;;;
504;1;4.0;;;
509;1;4.0;;;
514;1;4.0;;;
517;1;4.0;;;
522;1;3.0;;;
524;1;4.0;;;
525;1;4.0;;;
528;1;2.5;;;
529;1;3.0;;;
533;1;5.0;;;
534;1;4.0;;;
541;1;3.0;;;
544;1;3.0;;;
550;1;4.0;;;
555;1;4.0;;;
559;1;5.0;;;
560;1;3.0;;;
561;1;4.0;;;
562;1;4.5;;;
567;1;3.5;;;
570;1;4.0;;;
572;1;4.0;;;
573;1;5.0;;;
579;1;4.0;;;
580;1;3.0;;;
584;1;5.0;;;
587;1;5.0;;;
590;1;4.0;;;
596;1;4.0;;;
597;1;4.0;;;
599;1;3.0;;;
600;1;2.5;;;
601;1;4.0;;;
603;1;4.0;;;
604;1;3.0;;;
605;1;4.0;;;
606;1;2.5;;;
607;1;4.0;;;
608;1;2.5;;;
609;1;3.0;;;
610;1;5.0;;;
6;2;4.0;;;
8;2;4.0;;;
18;2;3.0;;;
19;2;3.0;;;
20;2;3.0;;;
21;2;3.5;;;
27;2;4.0;;;
51;2;4.5;;;
62;2;4.0;;;
68;2;2.5;;;
82;2;3.0;;;
91;2;3.0;;;
93;2;5.0;;;
94;2;4.0;;;
103;2;4.0;;;
104;2;3.0;;;
107;2;5.0;;;
112;2;1.5;;;
117;2;3.0;;;
122;2;4.0;;;
125;2;4.0;;;
135;2;3.0;;;
140;2;3.5;;;
144;2;3.0;;;
149;2;1.0;;;
153;2;2.0;;;
160;2;4.0;;;
169;2;4.0;;;
177;2;3.5;;;
186;2;4.0;;;
202;2;4.0;;;
217;2;2.0;;;
219;2;2.5;;;
221;2;3.5;;;
222;2;2.5;;;
226;2;3.0;;;
230;2;2.5;;;
232;2;4.0;;;
240;2;5.0;;;
249;2;4.0;;;
259;2;2.0;;;
274;2;3.5;;;
276;2;4.0;;;
284;2;4.0;;;
288;2;2.0;;;
294;2;3.0;;;
298;2;0.5;;;
299;2;3.0;;;
304;2;4.0;;;
305;2;3.5;;;
307;2;2.5;;;
308;2;3.0;;;
